vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","069","999","0137",4,556,2.36999989e+00
"02","069","999","0138",3,4303,1.83500004e+01
"02","070","999","0131",1,162952,4.42599983e+01
"02","070","999","0132",5,11785,3.20000005e+00
"02","070","999","0133",6,3114,8.50000024e-01
"02","070","999","0135",2,105326,2.86100006e+01
"02","070","999","0137",4,15611,4.23999977e+00
"02","070","999","0138",3,69404,1.88500004e+01
"02","071","999","0131",2,17953,2.81000004e+01
"02","071","999","0132",4,1977,3.08999991e+00
"02","071","999","0133",6,948,1.48000002e+00
"02","071","999","0135",1,27378,4.28499985e+01
"02","071","999","0137",5,1803,2.81999993e+00
"02","071","999","0138",3,13832,2.16499996e+01
"02","072","999","0131",3,2802,2.61499996e+01
"02","072","999","0132",5,227,2.11999989e+00
"02","072","999","0133",6,84,7.79999971e-01
"02","072","999","0135",1,4309,4.02099991e+01
"02","072","999","0137",4,264,2.46000004e+00
"02","072","999","0138",2,3030,2.82800007e+01
"02","073","999","0131",2,2027,2.66700001e+01
"02","073","999","0132",5,147,1.92999995e+00
"02","073","999","0133",6,68,8.89999986e-01
"02","073","999","0135",1,3867,5.08699989e+01
"02","073","999","0137",4,184,2.42000008e+00
"02","073","999","0138",3,1308,1.72099991e+01
"02","074","999","0131",1,6746,4.00499992e+01
"02","074","999","0132",4,332,1.97000003e+00
"02","074","999","0133",6,149,8.79999995e-01
"02","074","999","0135",2,6641,3.94199982e+01
"02","074","999","0137",5,327,1.94000006e+00
"02","074","999","0138",3,2650,1.57299995e+01
"02","075","999","0131",1,14044,4.47700005e+01
"02","075","999","0132",5,630,2.00999999e+00
"02","075","999","0133",6,286,9.10000026e-01
"02","075","999","0135",3,6860,2.18700008e+01
"02","075","999","0137",4,946,3.01999998e+00
"02","075","999","0138",2,8606,2.74300003e+01
"02","076","999","0131",2,13881,3.29900017e+01
"02","076","999","0132",5,793,1.88000000e+00
"02","076","999","0133",6,459,1.09000003e+00
"02","076","999","0135",1,16435,3.90600014e+01
"02","076","999","0137",4,1199,2.84999990e+00
"02","076","999","0138",3,9308,2.21200008e+01
"02","077","999","0131",1,137161,4.77099991e+01
"02","077","999","0132",5,7083,2.46000004e+00
"02","077","999","0133",6,2717,9.39999998e-01
"02","077","999","0135",3,58145,2.02199993e+01
"02","077","999","0137",4,10896,3.78999996e+00
"02","077","999","0138",2,71515,2.48700008e+01
"02","078","999","0131",2,4475,3.15100002e+01
"02","078","999","0132",4,261,1.84000003e+00
"02","078","999","0133",6,117,8.19999993e-01
"02","078","999","0135",1,5105,3.59500008e+01
"02","078","999","0137",5,259,1.82000005e+00
"02","078","999","0138",3,3984,2.80499992e+01
"02","079","999","0131",1,113552,4.63300018e+01
"02","079","999","0132",5,6033,2.46000004e+00
"02","079","999","0133",6,2627,1.07000005e+00
"02","079","999","0135",3,50194,2.04799995e+01
"02","079","999","0137",4,8719,3.55999994e+00
"02","079","999","0138",2,63991,2.61100006e+01
"02","080","999","0131",2,65653,3.12500000e+01
