sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0077","X","0701","3016",2,30
"20","001","003","0003 ","0077","X","0701","3036",3,23
"20","001","003","0003 ","0077","X","0701","3100",4,9
"20","001","003","0003 ","0077","X","0701","3113",5,3
"20","001","003","0003 ","0077","X","0701","3139",6,6
"20","001","003","0003 ","0077","X","0702","3013",1,1
"20","001","003","0003 ","0077","X","0702","3052",2,9
"20","001","003","0003 ","0077","X","0702","3116",3,48
"20","001","003","0003 ","0077","X","0702","3119",4,21
"20","001","003","0003 ","0077","X","0702","3125",5,9
"20","001","003","0003 ","0077","X","0702","3136",6,8
"20","001","003","0003 ","0078","X","0701","3015",1,12
"20","001","003","0003 ","0078","X","0701","3016",2,38
"20","001","003","0003 ","0078","X","0701","3036",3,18
"20","001","003","0003 ","0078","X","0701","3100",4,3
"20","001","003","0003 ","0078","X","0701","3113",5,11
"20","001","003","0003 ","0078","X","0701","3139",6,1
"20","001","003","0003 ","0078","X","0702","3013",1,2
"20","001","003","0003 ","0078","X","0702","3052",2,4
"20","001","003","0003 ","0078","X","0702","3116",3,47
"20","001","003","0003 ","0078","X","0702","3119",4,8
"20","001","003","0003 ","0078","X","0702","3125",5,9
"20","001","003","0003 ","0078","X","0702","3136",6,9
"20","001","003","0003 ","0079","X","0701","3015",1,7
"20","001","003","0003 ","0079","X","0701","3016",2,53
"20","001","003","0003 ","0079","X","0701","3036",3,24
"20","001","003","0003 ","0079","X","0701","3100",4,1
"20","001","003","0003 ","0079","X","0701","3113",5,5
"20","001","003","0003 ","0079","X","0701","3139",6,2
"20","001","003","0003 ","0079","X","0702","3013",1,1
"20","001","003","0003 ","0079","X","0702","3052",2,8
"20","001","003","0003 ","0079","X","0702","3116",3,43
"20","001","003","0003 ","0079","X","0702","3119",4,0
"20","001","003","0003 ","0079","X","0702","3125",5,0
"20","001","003","0003 ","0079","X","0702","3136",6,0
"20","001","003","0003 ","0080","X","0701","3015",1,7
"20","001","003","0003 ","0080","X","0701","3016",2,7
"20","001","003","0003 ","0080","X","0701","3036",3,21
"20","001","003","0003 ","0080","X","0701","3100",4,2
"20","001","003","0003 ","0080","X","0701","3113",5,2
"20","001","003","0003 ","0080","X","0701","3139",6,6
"20","001","003","0003 ","0080","X","0702","3013",1,2
"20","001","003","0003 ","0080","X","0702","3052",2,5
"20","001","003","0003 ","0080","X","0702","3116",3,52
"20","001","003","0003 ","0080","X","0702","3119",4,10
"20","001","003","0003 ","0080","X","0702","3125",5,2
"20","001","003","0003 ","0080","X","0702","3136",6,3
"20","001","003","0003 ","0081","X","0701","3015",1,4
"20","001","003","0003 ","0081","X","0701","3016",2,38
"20","001","003","0003 ","0081","X","0701","3036",3,27
"20","001","003","0003 ","0081","X","0701","3100",4,2
"20","001","003","0003 ","0081","X","0701","3113",5,3
"20","001","003","0003 ","0081","X","0701","3139",6,8
"20","001","003","0003 ","0081","X","0702","3013",1,1
"20","001","003","0003 ","0081","X","0702","3052",2,7
"20","001","003","0003 ","0081","X","0702","3116",3,36
"20","001","003","0003 ","0081","X","0702","3119",4,9
"20","001","003","0003 ","0081","X","0702","3125",5,1
"20","001","003","0003 ","0081","X","0702","3136",6,13
"20","001","003","0003 ","0082","X","0701","3015",1,9
